account_id,client_id,account_type,opening_date,status
c579b64a-f3ac-442e-bbb8-0d16d7c02c3a,1a7ea6a9-b5f9-485b-b4d5-5e984e911051,courant,2022-03-31,active
45910aec-b081-407d-9a51-bf2ebbc3f74e,acccb29b-4024-429f-9553-4d2027777b1c,courant,2010-11-26,active
6f0e2b3d-de90-4111-9f70-319583909dfe,6139f25f-ac5a-48fa-acc8-355d180e73d6,courant,2014-04-20,active
71080acc-44d9-4a36-bfb6-89e7bd7d9ea7,63cb8b2d-6f92-4f11-9b6a-806a4def750e,courant,2015-08-29,active
d89d877a-2131-4877-a256-24d1a6b248b5,fa499864-9bbe-4542-9a57-39c709ea7819,courant,2011-06-25,active
03bb1f42-d5af-4a27-905e-efec0bcc6618,08c49790-ea3f-46b8-ab4e-ec6bbccb7842,courant,2015-06-20,active
cebf5ae6-3201-4f9a-aa33-434bae77f460,61433820-cfcf-47e2-b6f0-7c5527dedbd6,courant,2013-12-16,active
d233bcac-810a-45c4-a968-a49a6ce27f1c,2787b15d-9bc9-4979-98c4-b644cab01a1e,courant,2014-05-12,active
7193a5ee-9cbc-4a55-a0ba-2a24b377f786,4c7fed11-da11-475f-be70-4cccc6cd2225,courant,2018-03-14,active
b8c8177c-36ba-4ae4-8caa-ce515f9414a8,250f9362-896d-4472-9940-74e841aa704d,courant,2014-06-10,active
fafb7ff9-8685-49e5-884c-c598ca60ddad,e6213ef2-2e35-4bf2-8c5e-f682d1497ca7,courant,2018-03-05,active
ee99fb2c-095e-4da4-9c75-33a22934d37d,6f49c66e-e233-4b76-8a36-9a628f012bdf,courant,2017-01-05,active
d12484b0-2636-4b93-9f8a-c89e77b52177,cf37ecfb-35a5-491e-ae64-83a94cb0c6e7,courant,2012-10-20,active
1ea6c095-7e58-46a2-9cd7-52c29fdd5115,623e59c5-c3d3-4cda-ba10-6f38858c0e52,courant,2014-10-23,active
b54900d3-070e-4620-b937-19c551ca6373,a3570a15-6497-418d-b02f-3de44f29293e,courant,2010-08-11,active
24487c3c-5fd4-48dd-80eb-e70b4c36ce58,bcd0092e-affd-449c-9dfa-ee74336cb637,courant,2016-09-29,active
8a24a30b-fd3f-4660-bce4-172dfc38c4f1,29b20c5a-334a-4898-849c-a8ae14043054,courant,2018-04-18,active
83569e92-23af-4be9-96ff-0732d82dc23d,794ecabc-dfe6-4812-8ae5-e425bcd3af6e,courant,2016-03-25,active
cf783184-9978-4c7c-bd93-56716df96038,3c941ed5-520e-4431-8c0f-72f66b4d1615,courant,2022-08-28,active
ae050f3e-5b66-4bea-b832-f691d0d7f9ad,600f85da-17b7-411d-b0e6-7c1a5cd02e87,courant,2016-05-12,active
66b4d125-7ee4-4e7f-9452-a0f5e0c8fde1,2dccf6d1-d669-4650-aac8-fd8d4fb49599,courant,2012-02-01,active
9c9216c5-5ccb-4db6-af67-da5c5f95cd18,01d112a1-3cc4-4f54-8025-d3d42b83a0ad,courant,2016-10-10,active
a8843d88-b664-4e12-a20d-aa08bafd3bae,de690b92-0736-4abb-a561-70aac7ccea75,courant,2011-05-24,active
65ba94a9-0749-4e5a-a620-6fad2f8d2c2b,382d0496-4386-4cba-8fb6-580ef9e08dfc,courant,2020-07-15,active
3dc4fc46-d586-4dda-a32e-8b3ca2382952,d7216a5c-b128-45ae-ad66-0dd1c2777a43,courant,2012-12-07,active
7e4d2694-892c-493f-be25-4845ce1eb86d,b99c35c1-6a1f-4dcf-bf29-f25264f355b0,courant,2021-01-04,active
2eab7409-15d5-4624-bad0-ddb292d42a9b,1f2e5823-99ac-41c4-8bae-5255fef0c084,courant,2019-08-29,active
17fc9e28-197c-4bd9-a924-b7ab6ec79a6f,48e1b86b-6bb1-46e6-a9b9-18fb375a86d3,courant,2019-05-13,active
cc4bb2c6-1c06-469f-aca0-f6ada0968030,9c9b46b1-cc04-46a0-926b-aa7d638694c7,courant,2012-04-22,active
b4a57cbc-32ba-4afb-96df-34c3d18beb1c,474fb5c1-feb5-46f6-abf5-9e01b44f8026,courant,2022-08-01,active
5126a43d-b719-4181-b342-357beadf9bf6,42c77771-b461-40ae-bda8-04ccfcc37521,courant,2019-07-14,active
9e264787-7a1b-4feb-a2d3-d355d14b8efe,01cfbb85-5019-40cd-897a-b5e76f4b0965,courant,2018-05-13,active
130046b3-4ad8-4a23-a235-0e5caa2dc7a8,f56bb1a3-c393-46cc-90fd-f3df1f109e1e,courant,2016-03-16,active
670ba43f-b215-44c5-b6a4-f7ba92fa81d1,6aa042b2-9b3e-48ce-80a0-e15493ad06f0,courant,2014-05-18,active
e13e3687-e55c-44d0-a737-60c5a372bfdf,678af20d-dd1d-4906-bebf-e743eb1116a8,courant,2012-11-14,active
